Model,Execution Time (s),Train Accuracy,Test Accuracy,Test Precision,Test Recall,Test F1,Test AUC-ROC,Overfitting Gap
HistGradientBoostingClassifier,23.20507311820984,0.9361072512800621,0.9360043226315005,0.942208212897571,0.9360043226315005,0.9352965624092267,0.9536628489660266,0.00010292864856165096
RandomForestClassifier,160.09817600250244,0.9999945566773597,0.9352165249905058,0.9411553546321739,0.9352165249905058,0.9345175777857314,0.9531357764031793,0.06477803168685392
XGBClassifier,6.6394219398498535,0.9350462980008217,0.9343079844807125,0.9399413567846355,0.9343079844807125,0.9336200909791641,0.953473867702894,0.0007383135201092239
DecisionTreeClassifier,11.472570896148682,1.0,0.8831051085156666,0.8836470150222002,0.8831051085156666,0.8832455904572237,0.8830165777718813,0.11689489148433341
